;Config settings
"Enabled - Force subscription not showing","Ingeschakeld - Forceer lidmaatschap niet getoond"
"Enabled - Force subscription", "Ingeschakeld - Forceer lidmaatschap"
"-- Disabled --", "-- Uitgeschakeld --"
"Could not add Webhook "%s" for list "%s", error code %s, %s","Kan de webhook "%s" voor lijst "%s" niet toevoegen, error code %s, %s"
"There is no List selected please save the configuration again","Er is geen lijst geselecteerd, sla de configuratie nog eens op"
"Subscriber Group","Inschrijvingen groep"
"Max amount of lists to show","Max aantal te tonen lijsten"
"Reset Local Ecommerce360","Lokale Ecommerce360 opnieuw instellen"
"Reset Remote Ecommerce360","Externe Ecommerce360 opnieuw instellen"
"Please click the button below to get your API key.","Klik op onderstaande knop om je API gegevens te ontvangen"
"Select carefully the correct scope","Selecteer de juiste scope"
"Keep in mind, all your orders in Mailchimp will be removed.<br>Select carefully the correct scope","Let op dat alle bestellingen in Mailchimp verwijderd worden.<br>Selecteer de juiste scope"
"Customer can change groups","Klant kan van groep veranderen"
"Show Original List Name","Toon orginele lijst naam"
"Show original name as it's configured in MailChimp or display <i>General Subscription</i> name for this list.","Toon originele naam zoals deze geconfigureerd is in MailChimp, of toon <i>Algemene inschrijving</i> als naam voor deze lijst."
"Use Magento's confirmation email","Gebruik Magento's standaard bevestigingsmail"
"Use Magento's confirmation email when user subscribes to Newsletter.","Gebruik de standaard Magento bevestigingsmail wanneer een gebruiker lid wordt van de nieuwsbrief"
"Subscribe On Checkout","Inschrijven bij afrekenen"
"Map field to mark","Map veld om te markeren"
"Field to distinguish if the user subscribe","Veld om te onderscheiden of de gebruiker lid is geworden"
"Limit of Customers to Import","Limiteer te importere klanten op"
"Limit of Customers to Export","Limiteer te exporteren klanten op"
"Webhooks Delete action","Webhook verwijder actie"
"Unsubscribe customers","Klanten uitschrijven"
"Delete customer account","Klant account verwijderen"
"Show Admin Notifications","Toon admin meldingen"
"Notifications related to campaigns sent, cleaned emails, etc","Meldingen gerelateerd aan verzonden campagnes, opgeruimde emails enzovoorts"
"Enable Log","Logging inschakelen"
"File is {{base_dir}}/var/log/MageMonkey_ApiCall.log","Te vinden op: {{base_dir}}/var/log/MageMonkey_ApiCall.log"
